Month,Number of viewers in thousands
November 2020,26.59
October 2020,29.58
September 2020,19.54
August 2020,13.13
July 2020,8.61
June 2020,8.62
May 2020,9.35
April 2020,11.45
March 2020,14.18
February 2020,12.48
January 2020,7.64
December 2019,8.38
November 2019,7.85
October 2019,9.01
September 2019,4.88
August 2019,5.18
July 2019,4.88
June 2019,8.17
May 2019,7.76
April 2019,7.4
March 2019,4.9
February 2019,5.6
January 2019,5.01
December 2018,4.14
November 2018,7.56
October 2018,7.21
September 2018,8.78
August 2018,5.23
July 2018,4.84
June 2018,5.71
May 2018,3.02
April 2018,7.61
March 2018,7.43
February 2018,2.59
January 2018,3.39
