Auction item,Hammer price in thousand U.S. dollars
Elizabeth Taylor's jewelry set,116000
Marilyn Monroe's white gown from The Seven Year Itch,4600
Audrey Hepburn's black dress from Breakfast at Tiffany's,2600
Elizabeth Taylor's evening and wedding gowns,2600
1938 Action Comics No. 1 (the edition introducing Superman),2100
Michael Jackson's jacket from the Thriller video,1800
Marilyn Monroe's dress from the Happy Birthday tribute to President Kennedy,1260
Star Wars Panavision R-200 Movie Camera,625
Marilyn Monroe's pink dress from Gentlemen Prefer Blondes,310
Luke Skywalker's light saber from Star Wars,240
