Year,U.S. aid to Israel in million U.S. dollars
2010,2800.0
2009,2583.9
2008,2423.9
2007,2503.15
2006,2534.5
2005,2612.15
2004,2687.25
2003,3745.15
2002,2850.65
2001,2876.05
2000,4131.85
1999,3010.0
1998,3080.0
1997,3132.1
1996,3144.0
1995,3102.4
1994,3097.2
1993,3103.4
1992,3100.0
1991,3712.3
1990,3034.9
1989,3045.6
1988,3043.4
1987,3043.4
1986,3663.5
1985,3376.7
1984,2631.6
1983,2505.6
1982,2250.5
1981,2413.4
1980,2121.0
1979,4888.0
1978,1822.6
1977,1762.5
1976,2337.7
1975,778.0
1974,2621.3
1973,492.8
1972,430.9
1971,634.3
1970,93.6
1969,160.3
1968,106.5
1967,23.7
1966,126.8
1965,65.1
1964,37.0
1963,87.9
1962,93.4
1961,77.9
1960,56.2
1959,53.3
1958,85.4
1957,40.9
1956,50.8
1955,52.7
1954,74.7
1953,73.6
1952,86.4
1951,35.1
1949,100.0
