river,Length in miles **
Missouri (Missouri) ***,2540
Mississippi (Louisiana),2340
Yukon (Alaska),1980
St Lawrence (Canada),1900
Rio Grande (Mexico-Texas),1900
Arkansas (Arkansas),1460
Colorado (Mexico),1450
Atchafalaya * (Louisiana),1420
Ohio (Illinois-Kentucky),1310
Red * (Louisiana),1290
Brazos (Texas),1280
Columbia (Oregon-Washington),1240
Snake (Washington),1040
Platte (Nebraska),990
Pecos (Texas),926
Canadian (Oklahoma),906
Tennessee (Kentucky),886
Colorado (of Texas) (Texas),862
North Canadian (Oklahoma),800
Mobile (Alabama),774
Kansas (Kansas),743
Kuskokwim (Alaska),724
Yellowstone (North Dakota),692
Tanana (Alaska),659
Gila (Arizona),649
Porcupine (Alaska),569
Susquehanna (Maryland),447
Stikine (Alaska),379
Susitna (Alaska),313
Willamette (Oregon),309
Copper (Alaska),286
Nushagak (Alaska),285
