Year,Inflation rate compared to previous year
2025*,5.5%
2024*,5.5%
2023*,4.98%
2022*,5%
2021*,4.49%
2020*,4.26%
2019*,5.19%
2018,4.75%
2017,4.46%
2016,6.6%
2015,3.22%
2014,4.57%
2013,5%
2012,5.47%
2011,6.01%
2010,3.31%
2009,5.83%
2008,10.69%
2007,9.18%
2006,6.34%
2005,3.65%
2004,4.64%
2003,6.34%
2002,12.21%
2001,7.97%
2000,6.06%
1999,7.77%
1998,8.24%
1997,8.38%
1996,8.89%
1995,9.72%
1994,8.3%
1993,10.68%
1992,18.1%
1991,17.3%
1990,11.97%
1989,14.67%
1988,12.4%
1987,12.04%
1986,15.69%
1985,14.99%
