Internet billionaire,Net worth in billion U.S. dollars
"Jeff Bezos, Amazon",113.0
"Mark Zuckerberg, Facebook",54.7
"Larry Page, Google",50.9
"Sergey Brin, Google",49.1
"Jack Ma, Alibaba",38.8
"Ma Huateng, Tencent",38.1
"MacKenzie Bezos, Amazon",36.0
"William Lei Ding, Netease",17.0
"Colin Zheng Huang, Pinduoduo",16.5
"Eric Schmidt, Google",13.2
"Zhang Zhidong, Tencent",13.0
"Pierre Omidyar, eBay",11.0
"Joseph Tsai, Alibaba",10.0
"Jan Koum, WhatsApp",9.7
"Dustin Moskovitz, Facebook",9.3
"Eduardo Saverin, Facebook",8.4
"Richard Qiangdong Liu, JD.com",8.2
"Wang Xing, Meituan Dianping",6.4
"Kim Jung-Ju, Nexon",6.3
"Andreas von Bechtolsheim, Google",5.7
