Country,Number of skiers in thousands
Germany,14607
France,8574
Italy,7266
United Kingdom,6340
Estonia,6300
Poland,4937
Russia,4275
Austria,2960
Switzerland,2959
Spain,2329
Czech Republic,2236
Sweden,1824
Finland,1264
Belgium,1253
Norway,1181
Ukraine,1114
Slovakia,979
Turkey,807
Denmark,667
Romania,588
Hungary,587
Bulgaria,349
Slovenia,299
Kazakhstan,266
Croatia,227
Greece,215
Serbia,211
Portugal,206
Latvia,194
Belarus,190
Bosnia and Herzegovina,175
Macedonia,156
Lithuania,141
Georgia,93
Azerbaijan,72
Iceland,63
Montenegro,62
Armenia,59
Uzbekistan,57
Kyrgyzstan,55
Kosovo,55
Albania,29
Andorra,15
Liechtenstein,14
