Transport Company,Turnover in million euros
SAS AB,4347.29
Norwegian Air Shuttle ASA,4014.54
Finnair Oyj,2568.4
BRA Sverige AB,267.44
Braathens Aviation AB,266.99
Bristow Norway AS,233.25
West Atlantic AB (publ),176.45
CHC Helikopter Service AS,168.78
Dat A/S,141.57
Star Air A/S,127.26
TUIfly Nordic AB,125.09
Air Alsie A/S,77.31
Nova Airlines AB Novair,74.62
Norwegian Pilot Services Norway AS,71.32
Sun-Air of Scandinavia A/S,65.84
Lufttransport Fw AS,45.62
Cgs Holding AS,42.63
Widerøe Technical Services AS,38.66
Sundt Air AS,29.6
CityJet A/S,28.93
