State,Number of stores
Texas,1552
Georgia,915
Florida,900
North Carolina,870
Ohio,858
Tennessee,815
Alabama,796
Pennsylvania,781
Illinois,578
Michigan,574
Lousiana,574
Indiana,566
Kentucky,565
South Carolina,564
Missouri,547
Mississippi,538
New York,495
Oklahoma,461
Arkansas,452
Virginia,435
Iowa,264
West Virginia,249
Kansas,247
California,226
Wisconsin,192
Minnesota,163
New Jersey,148
Maryland,140
Nebraska,128
Arizona,121
New Mexico,99
Connecticut,64
Maine,58
Oregon,57
South Dakota,55
Colorado,51
Massachusetts,50
Delaware,47
North Dakota,42
New Hampshire,40
Vermont,37
Nevada,22
Rhode Island,20
Utah,11
Wyoming,1
