Month,Number of deaths
Dec 14,3277
Dec 13,4498
Dec 12,5421
Dec 11,5666
Dec 10,5370
Dec 9,6074
Dec 8,4090
Dec 7,3769
Dec 6,4255
Dec 5,5708
Dec 4,5709
Dec 3,5661
Dec 2,6195
Dec 1,4834
Nov 30,3931
Nov 29,4115
Nov 28,5986
Nov 27,5561
Nov 26,5701
Nov 25,6342
Nov 24,5170
Nov 23,3451
Nov 22,3736
Nov 21,5886
Nov 20,5113
Nov 19,5186
Nov 18,5830
Nov 17,4677
Nov 16,3488
Nov 15,3845
Nov 14,4592
Nov 13,4523
Nov 12,4750
Nov 11,5420
Nov 10,3730
Nov 9,2992
Nov 8,3314
Nov 7,4144
Nov 6,3845
Nov 5,4035
Nov 4,5482
Nov 3,2714
Nov 2,2404
Nov 1,2573
Oct 31,2940
Oct 30,2746
Oct 29,2693
Oct 28,2802
Oct 27,1964
Oct 26,1730
Oct 25,1746
Oct 24,1887
Oct 23,1977
Oct 22,1868
Oct 21,1738
Oct 20,1400
Oct 19,1273
Oct 18,1179
Oct 17,1289
Oct 16,1444
Oct 15,1328
Oct 14,1380
Oct 13,834
Oct 12,903
Oct 11,965
Oct 10,794
Oct 9,1075
Oct 8,1026
Oct 7,966
Oct 6,930
Oct 5,547
Oct 4,665
Oct 3,767
Oct 2,778
Oct 1,856
Sep 30,883
Sep 29,661
Sep 28,607
Sep 27,623
Sep 26,648
Sep 25,709
Sep 24,699
Sep 23,735
Sep 22,642
Sep 21,517
Sep 20,470
Sep 19,635
Sep 18,600
Sep 17,600
Sep 16,864
Sep 15,505
Sep 14,465
Sep 13,334
Sep 12,379
Sep 11,64
Sep 10,320
Sep 9,525
Sep 8,440
Sep 7,322
Sep 6,413
Sep 5,332
Sep 4,568
Sep 3,446
Sep 2,465
Sep 1,403
Aug 31,334
Aug 30,323
Aug 29,338
Aug 28,341
Aug 27,439
Aug 26,448
Aug 25,284
Aug 24,289
Aug 23,322
Aug 22,360
Aug 21,349
Aug 20,352
Aug 19,462
Aug 18,269
Aug 17,260
Aug 16,476
Aug 15,326
Aug 14,400
Aug 13,371
Aug 12,287
Aug 11,378
Aug 10,320
Aug 9,307
Aug 8,354
Aug 7,300
Aug 6,417
Aug 5,409
Aug 4,267
Aug 3,299
Aug 2,252
Aug 1,366
Jul 31,369
Jul 30,408
Jul 29,343
Jul 28,274
Jul 27,205
Jul 26,300
Jul 25,379
Jul 24,352
Jul 23,400
Jul 22,374
Jul 21,277
Jul 20,127
Jul 19,252
Jul 18,527
Jul 17,405
Jul 16,465
Jul 15,402
Jul 14,293
Jul 13,266
Jul 12,368
Jul 11,422
Jul 10,409
Jul 9,484
Jul 8,506
Jul 7,334
Jul 6,301
Jul 5,357
Jul 4,435
Jul 3,449
Jul 2,521
Jul 1,451
Jun 30,337
Jun 29,289
Jun 28,365
Jun 27,505
Jun 26,429
Jun 25,429
Jun 24,537
Jun 23,360
Jun 22,282
Jun 21,309
Jun 20,469
Jun 19,1845
Jun 18,652
Jun 17,666
Jun 16,362
Jun 15,318
Jun 14,463
Jun 13,570
Jun 12,483
Jun 11,747
Jun 10,719
Jun 9,470
Jun 8,376
Jun 7,603
Jun 6,800
Jun 5,607
Jun 4,831
Jun 3,818
Jun 2,529
Jun 1,435
May 31,725
May 30,927
May 29,958
May 28,1102
May 27,842
May 26,863
May 24,873
May 23,953
May 22,1593
May 21,1150
May 20,1350
May 19,855
May 18,664
May 17,1154
May 16,1376
May 15,1656
May 14,1579
May 13,1922
May 12,1298
May 11,965
May 10,1194
May 9,1994
May 8,1808
May 7,2178
May 6,2254
May 5,1597
May 4,1250
May 3,1930
May 2,2164
May 1,2401
Apr 30,2734
Apr 29,3053
Apr 28,2458
Apr 27,1553
Apr 26,2944
Apr 25,3228
Apr 24,3088
Apr 23,3424
Apr 22,4021
Apr 21,2898
Apr 20,2489
Apr 19,3705
Apr 18,3896
Apr 17,4186
Apr 16,4901
Apr 15,4442
Apr 14,3244
Apr 13,3189
Apr 12,3534
Apr 11,4315
Apr 10,4904
Apr 9,4069
Apr 8,5160
Apr 7,3553
Apr 6,3070
Apr 5,4263
Apr 4,5331
Apr 3,3701
Apr 2,3570
Apr 1,3417
Mar 31,3021
Mar 30,2603
Mar 29,2781
Mar 28,2798
Mar 27,2278
Mar 26,2149
Mar 25,1892
Mar 24,1531
Mar 23,1339
Mar 22,1437
Mar 21,1071
Mar 20,872
Mar 19,739
Mar 18,619
Mar 17,439
Mar 16,599
Mar 15,243
Mar 14,316
Mar 13,249
Mar 12,235
Mar 11,184
Mar 10,136
Mar 9,145
Mar 8,38
Mar 7,55
Mar 6,47
Mar 5,28
Mar 4,29
Mar 3,18
Mar 2,7
Mar 1,8
Feb 29,4
Feb 28,5
Feb 27,2
Feb 26,5
Feb 25,4
Feb 24,-
Feb 23,2
Feb 22,-
Feb 21,-
Feb 20,-
Feb 19,-
Feb 18,-
Feb 17,-
Feb 16,-
Feb 15,1
