Month,Index points
Jan 3,3.1
Jan 2,3.0
Jan 1,3.2
Dec 31,2.3
Dec 30,1.4
Dec 29,1.3
Dec 28,1.3
Dec 27,2.6
Dec 26,2.0
Dec 25,1.3
Dec 24,1.4
Dec 23,1.4
Dec 22,1.4
Dec 21,1.5
Dec 20,1.8
Dec 19,2.2
Dec 18,2.1
Dec 17,2.1
Dec 16,2.2
Dec 15,1.3
Dec 14,1.4
Dec 13,2.8
Dec 12,1.9
Dec 11,1.3
Dec 10,1.4
Dec 9,1.3
Dec 8,1.4
Dec 7,1.4
Dec 6,2.8
Dec 5,2.0
Dec 4,1.4
Dec 3,1.4
Dec 2,1.4
Dec 1,2.2
Nov 30,1.4
Nov 29,2.8
Nov 28,2.0
Nov 27,1.3
Nov 26,1.3
Nov 25,1.4
Nov 24,1.3
Nov 23,1.4
Nov 22,2.8
Nov 21,2.1
Nov 20,1.3
Nov 19,1.3
Nov 18,1.3
Nov 17,1.3
Nov 16,1.3
Nov 15,2.7
Nov 14,2.0
Nov 13,1.2
Nov 12,1.2
Nov 11,1.2
Nov 10,1.1
Nov 9,1.2
Nov 8,2.6
Nov 7,1.8
Nov 6,1.1
Nov 5,1.1
Nov 4,1.2
Nov 3,1.3
Nov 2,1.3
Nov 1,2.5
Oct 31,1.9
Oct 30,1.2
Oct 29,1.3
Oct 28,1.3
Oct 27,1.3
Oct 26,1.3
Oct 25,2.7
Oct 24,1.9
Oct 23,1.2
Oct 22,1.2
Oct 21,1.1
Oct 20,1.1
Oct 19,1.2
Oct 18,2.5
Oct 17,1.8
Oct 16,1.1
Oct 15,1.1
Oct 14,1.1
Oct 13,1.1
Oct 12,1.2
Oct 11,2.4
Oct 10,1.9
Oct 9,1.2
Oct 8,1.2
Oct 7,1.3
Oct 6,1.2
Oct 5,1.2
Oct 4,2.5
Oct 3,1.7
Oct 2,1.1
Oct 1,1.1
Sept 30,1.1
Sept 29,1.2
Sept 28,1.1
Sept 27,2.4
Sept 26,1.8
Sept 25,1.2
Sept 24,1.2
Sept 23,1.3
Sept 22,1.1
Sept 21,1.2
Sept 20,2.4
Sept 19,1.7
Sept 18,1.2
Sept 17,1.2
Sept 16,1.2
Sept 15,1.1
Sept 14,1.1
Sept 13,2.4
Sept 12,1.8
Sept 11,1.2
Sept 10,1.2
Sept 9,1.2
Sept 8,1.2
Sept 7,1.2
Sept 6,2.5
Sept 5,2.0
Sept 4,1.2
Sept 3,1.3
Sept 2,1.1
Sept 1,1.1
Aug 31,2.0
Aug 30,2.4
Aug 29,1.8
Aug 28,1.0
Aug 27,1.0
Aug 26,1.0
Aug 25,1.0
Aug 24,1.0
Aug 23,2.5
Aug 22,1.9
Aug 21,1.1
Aug 20,1.0
Aug 19,1.1
Aug 18,1.0
Aug 17,1.1
Aug 16,2.3
Aug 15,1.9
Aug 14,1.3
Aug 13,1.4
Aug 12,1.3
Aug 11,1.3
Aug 10,1.4
Aug 9,2.5
Aug 8,1.9
Aug 7,1.4
Aug 6,1.4
Aug 5,1.4
Aug 4,1.5
Aug 3,1.5
Aug 2,2.6
Aug 1,2.2
Jul 31,2.2
Jul 30,1.6
Jul 29,1.6
Jul 28,1.6
Jul 27,1.7
Jul 26,2.6
Jul 25,2.4
Jul 24,1.7
Jul 23,1.7
Jul 22,1.7
Jul 21,1.8
Jul 20,1.8
Jul 19,2.8
Jul 18,2.4
Jul 17,1.8
Jul 16,1.8
Jul 15,1.8
Jul 14,1.8
Jul 13,1.9
Jul 12,2.8
Jul 11,2.3
Jul 10,1.9
Jul 9,1.9
Jul 8,1.8
Jul 7,1.8
Jul 6,2.6
Jul 5,2.8
Jul 4,1.9
Jul 3,1.5
Jul 2,1.5
Jul 1,1.5
Jun 30,1.5
Jun 29,1.5
Jun 28,3.3
Jun 27,3.2
Jun 26,1.5
Jun 25,1.5
Jun 24,1.5
Jun 23,1.4
Jun 22,1.3
Jun 21,3.3
Jun 20,3.0
Jun 19,1.2
Jun 18,1.2
Jun 17,1.1
Jun 16,1.3
Jun 15,1.1
Jun 14,2.1
Jun 13,1.6
Jun 12,0.9
Jun 11,0.9
Jun 10,0.9
Jun 9,0.9
Jun 8,0.9
Jun 7,2.0
Jun 6,1.5
Jun 5,0.9
Jun 4,0.9
Jun 3,0.9
Jun 2,0.9
Jun 1,0.9
May 31,2.2
May 30,1.7
May 29,1.0
May 28,1.0
May 27,1.1
May 26,1.2
May 25,1.2
May 24,2.2
May 23,1.8
May 22,1.2
May 21,1.3
May 20,1.4
May 19,1.5
May 18,1.5
