Month,Index level*
Jul '20,109.3
Jun '20,109.2
May '20,109.1
Apr '20,109.0
Mar '20,108.8
Feb  '20,108.7
Jan  '20,108.6
Dec  '20,108.4
Nov  '20,108.3
Oct  '20,108.1
Sep  '20,108.0
Aug  '20,107.9
Jul '19,107.8
Jun '19,107.7
May '19,107.6
Apr '19,107.4
Mar '19,107.3
Feb '19,107.2
Jan '19,107.1
Dec '18,107.0
Nov '18,106.8
Oct '18,106.7
Sep '18,106.6
Aug '18,106.5
Jul '18,106.4
Jun '18,106.3
May '18,106.2
Apr '18,106.2
Mar '18,106.1
Feb '18,106.0
Jan '18,106.0
Dec '17,105.9
Nov' 17,105.8
Oct '17,105.8
Sep '17,105.7
Aug '17,105.6
Jul '17,105.5
Jun '17,105.3
May '17,105.2
Apr '17,105.1
Mar '17,105.0
Feb '17,104.9
Jan '17,104.8
Dec '16,104.6
Nov '16,104.4
Oct '16,104.2
Sep '16,104.0
Aug '16,103.9
Jul '16,103.6
Jun '16,103.4
May '16,103.4
Apr '16,103.2
Mar '16,102.9
Feb '16,102.8
Jan '16,102.6
