Response,Share of households
Iceland,96%
Netherlands,94%
Norway,92%
Denmark,92%
Switzerland,89%
Finland,87%
Germany (until 1990 former territory of the FRG),87%
Sweden,87%
United Kingdom,86%
Belgium,82%
Estonia *,81%
France,81%
European Union (15 countries),80%
Austria,79%
Euro area*,78%
European Union (28 countries),78%
European Union (27 countries),78%
Malta,78%
Ireland,78%
Slovakia,77%
Czech Republic,76%
Slovenia,75%
Luxembourg,73%
Hungary,73%
Poland,73%
Latvia,72%
Spain,67%
Cyprus,67%
Italy,66%
Lithuania,65%
Croatia,65%
Greece,64%
Portugal,63%
Romania *,59%
Bulgaria,56%
