Year,Gross domestic product in billion international dollars
2021*,556.16
2020*,525.05
2019,549.2
2018,518.63
2017,484.79
2016,444.24
2015,419.54
2014,399.74
2013,379.53
2012,360.33
2011,346.35
2010,332.59
2009,342.1
2008,359.34
2007,322.47
2006,292.85
2005,263.12
2004,243.79
2003,214.98
2002,206.24
2001,192.07
2000,178.63
1999,169.76
1998,169.29
1997,175.88
1996,184.04
1995,173.87
1994,158.95
1993,149.74
1992,144.07
1991,154.4
1990,171.52
1989,175.16
1988,178.93
1987,173.71
1986,168.17
1985,160.99
1984,156.21
