Country,2020 Index score
Iceland,0.87
Norway,0.84
Finland,0.83
Sweden,0.82
Nicaragua,0.8
Ireland,0.8
New Zealand,0.8
Spain,0.8
Rwanda,0.79
Latvia,0.79
Germany,0.79
Philippines,0.78
Namibia,0.78
Denmark,0.78
France,0.78
South Africa,0.78
Costa Rica,0.78
Switzerland,0.78
Albania,0.77
United Kingdom,0.77
Canada,0.77
Moldova,0.76
Trinidad and Tobago,0.76
Colombia,0.76
Belgium,0.75
Barbados,0.75
Cuba,0.75
Lithuania,0.75
Mexico,0.75
Estonia,0.75
Burundi,0.75
Argentina,0.75
Belarus,0.75
Poland,0.74
Serbia,0.74
Netherlands,0.74
Portugal,0.74
Slovenia,0.74
Jamaica,0.74
Austria,0.74
Uruguay,0.74
Lao PDR,0.73
Ecuador,0.73
Australia,0.73
Panama,0.73
Bulgaria,0.73
Zimbabwe,0.73
Bangladesh,0.73
Zambia,0.73
Bolivia,0.73
