industry,Average number of employees
Public administration and service,11058
Fishing and other related industries,4332
Wholesale and retail trade,3038
Construction,2042
Transportation and storage,2013
Accommodation and food service activities,818
Information and communication,631
Administrative and support service activities,480
Energy and watersupply,441
Other service industries,369
"Professional, scientific and technical activities",306
Real estate activities,269
Manufacturing,227
Financial and insurance activities,180
Mining and quarrying,95
Unknown,467
