State,Median income in U.S. dollars
District of Columbia,130291
Massachusetts,108348
New Jersey,105705
Maryland,105679
Connecticut,101272
New Hampshire,97112
Hawaii,96462
Colorado,95164
Washington,94709
Minnesota,93584
Virginia,93497
Alaska,91971
California,91377
New York,89475
Rhode Island,89373
Illinois,87771
Delaware,87148
North Dakota,87055
Utah,86152
Vermont,83458
Oregon,82540
Wisconsin,81829
Pennsylvania,81075
United States,80944
Nebraska,80062
Wyoming,79946
Kansas,79006
Iowa,78152
South Dakota,76826
Texas,76727
Maine,76316
Nevada,76124
Michigan,75703
Ohio,74911
Georgia,74833
Arizona,74468
Indiana,73876
Missouri,73457
Montana,73014
Idaho,72365
North Carolina,72049
Florida,71348
South Carolina,70537
Tennessee,69993
Oklahoma,68358
Kentucky,66183
Alabama,66171
Louisiana,65105
Arkansas,62387
New Mexico,61826
West Virginia,60920
Mississippi,58503
Puerto Rico,25388
