region of Italy,Magnitude
Albi (Cosenza) - January 16,3.8
Carpino (Foggia) - January 21,3.6
North-west coast in Calabria (Cosenza) - January 23,3.8
Castiglione Cosentino (Cosenza) - February 24,4.3
Aeolian Islands (Messina) - February 27,3.7
South tyrrhenian sea - March 1,3.9
Troina (Enna) - March 2,3.6
Ionian coast (Crotone) - March 4,4.0
South tyrrhenian sea - March 15,4.4
"South-west coast in Calabra (Catanzaro, Vibo Valentina, Reggio di Calabria) - March 17",3.9
Cerignale (Piacenza) - April 16,4.0
Poggio Imperiale (Foggia) - April 18,3.7
Redavalle (Pavia) - April 19,3.7
