Household composition,Percentage of respondents
"One adult, retired mainly dependent on state pensions*",45%
"One adult, other retired",60%
"One adult, non-retired",82%
"One adult, one child",90%
"One adult, two or more children",85%
"Two adults, retired mainly dependent on state pensions*",81%
"Two adults, other retired",89%
"Two adults, non-retired",97%
"Two adults, one child",97%
"Two adults, two children",99%
"Two adults, three children",96%
"Two adults, four or more children",100%
Three adults,96%
"Three adults, one or more children",100%
All other households without children,99%
All other households with children,99%
