Year,GDP per capita in U.S. dollars
2025,1406.44
2024,1327.95
2023,1254.91
2022,1189.05
2021,1132.13
2020,1105.55
2019,1079.68
2018,1036.93
2017,1002.87
2016,966.29
2015,947.9
2014,1030.74
2013,996.78
2012,882.48
2011,765.33
2010,725.77
2009,683.86
2008,671.87
2007,541.79
2006,481.67
2005,450.4
2004,425.48
2003,399.48
2002,383.7
2001,378.88
2000,378.49
1999,363.11
1998,303.01
1997,211.07
1996,179.54
1995,147.75
1994,129.72
1993,125.67
1992,140.48
1991,157.93
1990,138.79
1989,181.66
1988,221.86
1987,236.58
1986,492.45
1985,399.69
