Country,Number of players
Germany,203756
Netherlands,155035
France,118842
Sweden,117729
Norway,103636
England,102804
Denmark,62280
Romania,52572
Spain,46208
Turkey,40213
Finland,32221
Belgium,28416
Poland,26727
Russia,25865
Italy,23665
Switzerland,23551
Republic of Ireland,22960
Austria,20548
Hungary,13900
Czech Republic,11353
Scotland,10434
Portugal,9067
Iceland,7375
Wales,6546
Greece,6320
Ukraine,6105
Slovakia,3101
Serbia,2464
Croatia,2458
Slovenia,2173
Estonia,1565
Northern Ireland,1375
Bulgaria,1303
Lithuania,1211
Latvia,1200
Cyprus,1000
Malta,736
