Year,Number of members (in thousands)
2019,6440
2018,6350
2017,6875
2016,6865
2015,6949
2014,7011
2013,7086
2012,7197
2011,7261
2010,7329
2009,7388
2008,7656
2007,7628
2006,7603
2005,7473
2004,7559
2003,7736
2002,7751
2001,7779
2000,7898
1999,7852
1998,7801
1997,7938
1996,8031
1995,8231
1994,8666
1993,8929
1992,9489
1991,9810
1990,10044
1989,10387
1988,10480
1987,10598
1986,10819
1985,10774
1984,11300
1983,11744
1982,12311
1981,12636
1980,13212
1979,13054
1978,12719
1977,12133
1976,11656
1975,11044
1974,11755
1973,11444
1972,11350
1971,11128
1970,11179
1969,10472
1968,10193
1967,10191
1966,10259
1965,10325
1964,10218
1963,10067
1962,10014
1961,9916
1960,9835
1959,9623
1958,9639
1957,9829
1956,9778
1955,9741
1954,9566
1953,9527
1952,9588
1951,9535
1950,9289
1949,9318
1948,9362
1947,9145
1946,8803
1945,7875
1944,8087
1943,8174
1942,7867
1941,7165
1940,6613
1939,6298
1938,6053
1937,5842
1936,5295
1935,4867
1934,4590
1933,4392
1932,4444
1931,4624
1930,4842
1929,4858
1928,4806
1927,4919
1926,5219
1925,5506
1924,5544
1923,5429
1922,5625
1921,6633
1920,8348
1919,7926
1918,6533
1917,5499
1916,4644
1915,4359
1914,4145
1913,4135
1912,3416
1911,3139
1910,2565
1909,2477
1908,2485
1907,2513
1906,2210
1905,1997
1904,1967
1903,1994
1902,2013
1901,2025
1900,2022
1899,1911
1898,1752
1897,1731
1896,1608
1895,1504
1894,1530
1893,1559
1892,1576
