Year,Number of COVID-19 tests per day
30 July,47373
29 July,35262
28 July,61980
27 July,40023
26 July,44444
25 July,20161
24 July,37544
23 July,86224
22 July,0
21 July,53088
20 July,38738
19 July,43763
18 July,50286
17 July,45862
16 July,39410
15 July,44875
14 July,44729
13 July,29363
12 July,40814
11 July,44509
10 July,42852
9 July,35169
8 July,44461
7 July,34786
6 July,25971
5 July,29208
4 July,37502
3 July,78091
2 July,0
1 July,48468
30 June,44980
29 June,36390
28 June,42072
27 June,39880
26 June,39713
25 June,35781
24 June,38751
23 June,28677
22 June,32660
21 June,43218
20 June,44123
19 June,40959
18 June,37751
17 June,33254
16 June,30700
15 June,38852
14 June,41828
13 June,43600
12 June,39241
11 June,33536
10 June,25578
9 June,33319
8 June,28545
7 June,37779
6 June,5641
5 June,37411
4 June,35823
3 June,30112
2 June,30138
1 June,28255
31 May,31868
30 May,37797
29 May,62522
28 May,27941
27 May,2433
26 May,20719
25 May,24872
24 May,49682
23 May,3644
22 May,24418
21 May,4217
20 May,35962
19 May,16980
18 May,23292
17 May,31193
16 May,61990
15 May,30716
14 May,27304
13 May,23939
12 May,88864
11 May,4109
10 May,0
9 May,62377
8 May,3336
7 May,59356
6 May,23158
5 May,21924
4 May,3954
3 May,31410
2 May,55631
1 May,18166
30 April,29871
29 April,17553
28 April,23408
27 April,25788
26 April,22105
25 April,26160
24 April,23297
23 April,43753
22 April,10417
21 April,10380
20 April,19489
19 April,19846
18 April,13213
17 April,15943
16 April,24707
15 April,11636
14 April,21797
13 April,24269
12. April,3099
11 April,18230
10 April,9741
09 April,14312
08 April,22463
07 April,0
06 April,24835
05 April,21401
04 April,0
03 April,33637
02 April,6838
01 April,13244
31 March,15223
30 March,16531
29 March,20896
28 March,19637
27 March,5966
26 March,16444
25 March,35007
24 March,27748
23 March,0
22 March,982
21 March,12417
20 March,0
19 March,0
18 March,0
17 March,0
16 March,0
15 March,0
14 March,0
13 March,0
12 March,7775
