Richest people,Net worth in billion U.S. dollars
Jeff Bezos (Amazon),113.0
Bill Gates (Microsoft),98.0
Warren Buffet (Berkshire Hathaway),67.5
Larry Ellison (Oracle),59.0
Mark Zuckerberg (Facebook),54.7
Jim Walton (Walmart),54.6
Alice Walton (Walmart),54.4
"S. Robson ""Rob"" Walton (Walmart)",54.1
Steve Ballmer (Microsoft),52.7
Larry Page (Google),50.9
Sergey Brin (Google),49.1
Michael Bloomberg (Bloomberg LP),48.0
Charles Koch (Koch Industries),38.2
Julia Koch (Koch Industries),38.2
MacKenzie Bezos (Amazon),36.0
Phil Knight (Nike),29.5
Sheldon Adelson (Las Vegas Sands),26.8
John Mars (Mars),24.7
Jacqueline Mars (Mars),24.7
"Elon Musk (Tesla Motors, SpaceX)",24.6
