Response,Share of respondents
Just quit / decided it was time / quit cold turkey,48%
Will power / commitment / mind over matter,8%
"Support from family, friends / prayer",6%
Used nicotine patch,5%
Was experiencing health issues related to smoking,5%
Stopped being around people who smoke,4%
Used chewing gum / candy / seeds / lozenges to help,3%
Used electronic cigarette,3%
"Cut down, then quit",2%
Used prescription drugs,2%
Became pregnant,1%
Used hypnosis,1%
Used nicotine gum,1%
Other,12%
Nothing,2%
No opinion,3%
