Year,Inflation rate compared to previous year
2025*,1.97%
2024*,1.97%
2023*,1.97%
2022*,1.62%
2021*,1.13%
2020*,0.69%
2019,-0.18%
2018,-1.04%
2017,0.7%
2016,-0.69%
2015,-2.3%
2014,0.25%
2013,1.11%
2012,0.82%
2011,5.84%
2010,0.85%
2009,2.06%
2008,5.3%
2007,4.48%
2006,8.49%
2005,3.37%
2004,2.25%
2003,2.27%
2002,2.08%
2001,2.14%
2000,2.11%
1999,3.35%
1998,3.68%
1997,8.68%
1996,2.05%
1995,3%
1994,1.43%
1993,1.79%
1992,2.84%
1991,4.2%
1990,4.2%
1989,5.13%
1988,0.23%
1987,0.94%
1986,-0.03%
1985,2.67%
