Month,Number of daily recorded cases
Jan 3,10356
Jan 2,11015
Jan 1,17007
Dec 31,25345
Dec 30,28410
Dec 29,19118
Dec 28,17323
Dec 27,12153
Dec 26,10432
Dec 25,18411
Dec 24,26418
Dec 23,31297
Dec 22,22495
Dec 21,19333
Dec 20,20822
Dec 19,23970
Dec 18,31553
Dec 17,30951
Dec 16,28969
Dec 15,21377
Dec 14,18658
Dec 13,17891
Dec 12,21816
Dec 11,28344
Dec 10,28179
Dec 9,23928
Dec 8,18319
Dec 7,15161
Dec 6,14750
Dec 5,17812
Dec 4,23541
Dec 3,22910
Dec 2,20171
Dec 1,15898
Nov 30,14156
Nov 29,13637
Nov 28,14645
Nov 27,22018
Nov 26,21576
Nov 25,20825
Nov 24,16258
Nov 23,14537
Nov 22,13840
Nov 21,16612
Nov 20,23450
Nov 19,23676
Nov 18,20801
Nov 17,16206
Nov 16,14582
Nov 15,14045
Nov 14,16077
Nov 13,23184
Nov 12,23462
Nov 11,20536
Nov 10,16668
Nov 9,16465
Nov 8,14026
Nov 7,17119
Nov 6,22246
Nov 5,21757
Nov 4,20228
Nov 3,16545
Nov 2,16240
Nov 1,12556
Oct 31,14070
Oct 30,19367
Oct 29,18732
Oct 28,16202
Oct 27,13161
Oct 26,12621
Oct 25,9829
Oct 24,10458
Oct 23,13476
Oct 22,12519
Oct 21,10457
Oct 20,7167
Oct 19,6750
Oct 18,5248
Oct 17,4941
Oct 16,7976
Oct 15,7074
Oct 14,6063
Oct 13,4585
Oct 12,4803
Oct 11,2838
Oct 10,2975
Oct 9,4964
Oct 8,4401
Oct 7,3994
Oct 6,2462
Oct 5,3086
Oct 4,1543
Oct 3,1665
Oct 2,2833
Oct 1,2619
Sep 30,2445
Sep 29,1848
Sep 28,2280
Sep 27,1313
Sep 26,1319
Sep 25,2361
Sep 24,2140
Sep 23,2029
Sep 22,1625
Sep 21,2074
Sep 20,1169
Sep 19,1064
Sep 18,2202
Sep 17,2177
Sep 16,2021
Sep 15,1623
Sep 14,1923
Sep 13,752
Sept 12,821
Sep 11,1618
Sep 10,1758
Sep 9,1393
Sep 8,1331
Sep 7,1901
Sep 6,668
Sep 5,775
Sep 4,1467
Sep 3,1423
Sep 2,1390
Sep 1,1209
Aug 31,1497
Aug 30,470
Aug 29,711
Aug 28,1549
Aug 27,1565
Aug 26,1428
Aug 25,1455
Aug 24,1628
Aug 23,632
Aug 22,836
Aug 21,1737
Aug 20,1584
Aug 19,1595
Aug 18,1419
Aug 17,1689
Aug 16,519
Aug 15,704
Aug 14,1505
Aug 13,1419
Aug 12,1320
Aug 11,1030
Aug 10,1219
Aug 9,385
Aug 8,581
Aug 7,1105
Aug 6,1106
Aug 5,1024
Aug 4,760
Aug 3,858
Aug 2,385
Aug 1,412
July 31,1012
July 30,842
July 29,860
July 28,572
July 27,638
July 26,409
July 25,372
July 24,818
July 23,672
July 22,580
July 21,403
July 20,642
July 19,273
July 18,227
July 17,509
July 16,584
July 15,486
July 14,330
July 13,486
July 12,138
July 11,224
July 10,390
July 9,433
July 8,410
July 7,298
July 6,499
July 5,140
July 4,418
July 3,283
July 2,393
July 1,492
June 30,440
June 29,528
June 28,175
June 27,290
June 26,614
June 25,531
June 24,476
June 23,659
June 22,544
June 21,359
June 20,556
June 19,534
June 18,622
June 17,1122
June 16,338
June 15,373
June 14,248
June 13,172
June 12,456
June 11,285
June 10,350
June 9,311
June 8,336
June 7,173
June 6,282
June 5,491
June 4,498
June 3,334
June 2,326
June 1,271
May 31,200
May 30,275
May 29,567
May 28,557
May 27,607
May 26,499
May 25,461
May 24,342
May 23,273
May 22,692
May 21,490
May 20,704
May 19,538
May 18,638
May 17,407
May 16,545
May 15,724
May 14,877
May 13,927
May 12,595
May 11,697
May 10,555
May 9,736
May 8,1158
May 7,1268
May 6,1155
May 5,855
May 4,488
May 3,697
May 2,890
May 1,1068
Apr 30,1470
Apr 29,1627
Apr 28,1154
Apr 27,988
Apr 26,1257
Apr 25,1514
Apr 24,1870
Apr 23,2481
Apr 22,2195
Apr 21,1388
Apr 20,1323
Apr 19,2018
Apr 18,2327
Apr 17,3699
Apr 16,2945
Apr 15,2543
Apr 14,2138
Apr 13,2218
Apr 12,2402
Apr 11,3281
Apr 10,3936
Apr 9,4939
Apr 8,5633
Apr 7,4288
Apr 6,3252
Apr 5,4031
Apr 4,4933
Apr 3,6365
Apr 2,6813
Apr 1,6173
Mar 31,4923
Mar 30,4450
Mar 29,4740
Mar 28,6825
Mar 27,6933
Mar 26,6615
Mar 25,4332
Mar 24,3935
Mar 23,4183
Mar 22,2509
Mar 21,2516
Mar 20,4528
Mar 19,2993
Mar 18,2960
Mar 17,2095
Mar 16,1459
Mar 15,1214
Mar 14,924
Mar 13,930
Mar 12,779
Mar 11,401
Mar 10,341
Mar 9,184
Mar 8,240
Mar 7,130
Mar 6,125
Mar 5,283
Mar 4,59
Mar 3,38
Mar 2,35
Mar 1,51
Feb 29,11
Feb 28,25
Feb 27,3
Feb 26,2
Feb 25,0
Feb 24,0
Feb 23,0
Feb 22,0
Feb 21,0
Feb 20,0
Feb 19,0
Feb 18,0
Feb 17,0
Feb 16,0
Feb 15,0
Feb 14,0
Feb 13,0
Feb 12,2
Feb 11,0
Feb 10,0
Feb 9,0
Feb 8,1
Feb 7,0
Feb 6,1
Feb 5,0
Feb 4,2
Feb 3,0
Feb 2,3
Feb 1,1
Jan 31,2
Jan 30,0
Jan 29,3
Jan 28,1
