Year,GDP per capita in U.S. dollars
2025*,3099.73
2024*,2946.89
2023*,2809.92
2022*,2690.15
2021*,2592.76
2020*,2412.44
2019,2550.67
2018,2479.07
2017,2448.18
2016,2342.02
2015,2302.2
2014,2206.06
2013,2102.56
2012,2144.37
2011,2081.11
2010,1891.16
2009,1777.27
2008,1727.83
2007,1572.07
2006,1420.13
2005,1296.7
2004,1204.48
2003,1145.5
2002,1122.06
2001,1120.55
2000,1080.47
1999,1003.07
1998,1023.4
1997,948.72
1996,888.01
1995,948.44
1994,845.74
1993,888.61
1992,891.44
1991,822.86
1990,841.25
1989,1467.03
1988,1351.37
1987,1249.59
1986,1180.46
1985,1161.92
