Response,Percentage of users
Windows,-
Windows 10(64 bit),89.28%
Windows 7(64 bit),4.39%
Windows 8.1(64 bit),1.46%
Windows 7,0.22%
Windows 10,0.13%
Windows 8(64 bit),0.11%
OSX,-
MacOS 10.15.6(64 bit),0.86%
MacOS 10.15.7(64 bit),0.85%
MacOS 10.14.6(64 bit),0.51%
MacOS 10.13.6(64 bit),0.4%
MacOS 10.15.5(64 bit),0.18%
MacOS 10.12.6(64 bit),0.14%
MacOS 10.15.4(64 bit),0.1%
MacOS 10.11.6(64 bit),0.1%
MacOS 10.15.3(64 bit),0.05%
MacOS 10.16.0(64 bit),0.05%
Linux,-
Ubuntu 20.04.1 LTS(64 bit),0.21%
"""Manjaro Linux""(64 bit)",0.1%
"""Arch Linux""(64 bit)",0.1%
Ubuntu 18.04.5 LTS(64 bit),0.07%
Linux Mint 20(64 bit),0.05%
