Response,Share of respondents
"Having your personal, credit card or financial information stolen by computer hackers",72%
Being the victim of identity theft,66%
Your home being burglarized when you are not there,35%
Having your car stolen or broken into,34%
Having a school-aged child physically harmed attending school,30%
Being a victim of a hate crime,28%
Being the victim of terrorism,25%
Getting mugged,24%
Being attacked while driving your car,23%
Your home being burglarized when you are there,20%
Being sexually assaulted,19%
Getting murdered,17%
Being assaulted/killed by a co-worker/employee where you work,6%
