Quarter,Average rent in euros per square meter
Q2 2020,16.7
Q1 2020,16.75
Q4 2019,16.77
Q3 2019,16.62
Q2 2019,16.31
Q1 2019,16.33
Q4 2018,16.0
Q3 2018,16.04
Q2 2018,15.82
Q1 2018,15.56
Q4 2017,15.25
Q3 2017,15.23
Q2 2017,14.85
Q1 2017,14.7
Q4 2016,14.34
Q3 2016,14.11
Q2 2016,13.5
Q1 2016,13.38
Q4 2015,13.14
Q3 2015,13.27
Q2 2015,12.71
Q1 2015,12.61
Q4 2014,12.49
Q3 2014,12.61
Q2 2014,12.42
Q1 2014,12.37
Q4 2013,12.33
Q3 2013,12.62
Q2 2013,12.43
Q1 2013,12.28
Q4 2012,12.24
Q3 2012,12.61
Q2 2012,12.11
Q1 2012,12.06
Q4 2011,12.7
Q3 2011,12.19
Q2 2011,12.17
Q1 2011,12.1
Q4 2010,12.38
Q3 2010,12.21
Q2 2010,12.15
Q1 2010,12.3
