"Firm (Headquarters, Fiscal Year End)",Revenue in the U.S. in billion U.S. dollars
"Deloitte LLP**(New York, June)",21.91
"PwC U.S.**(New York, June)",17.4
"Ernst & Young LLP**(New York, June)",15.0
"KPMG LLP**(New York, September)",9.97
"RSM U.S.(Chicago, April)",2.44
"Grant Thornton LLP(Chicago, December)",1.95
"BDO USA LLP(Chicago, June )",1.64
CliftonLarsonAllen LLP (December)***,1.15
"Crowe Horwath LLP/(Chicago, December)",0.96
"CBIZ & Mayer Hoffman McCann PC(Cleveland, December)",0.81
"Moss Adams LLP(Seattle, December)",0.77
"Baker Tilly Virchow Krause LLP(Chicago, May)",0.75
Plante Moran,0.69
"CohnReznick LLP(New York, January)",0.68
"BKD LLP(Springfield, Mo., May)",0.66
