Response,Share of respondents
ebay.com,85%
amazon.com/Amazon-Trade-In,70%
craigslist.org,68%
bestbuy.com,54%
etsy.com,49%
gamestop.com/trade,33%
us.letgo.com/en,16%
gazelle.com,14%
offerup.com,13%
thredup.com,12%
poshmark.com,10%
sell.com,10%
eBid.net,9%
bonanza.com,8%
5milesapp.com,7%
decluttr.com,7%
listia.com,7%
tradesy.com,6%
close5.com,5%
wallapop.com,4%
ioffer.com,4%
carousell.com,4%
geebo.com,4%
swappa.com,4%
SocialSell,4%
nextworth.com,4%
glyde.com,3%
Linger,2%
Other,2%
None of these,3%
