business,Direct premiums written in million U.S. dollars
Odyssey Reins. Group,1650.99
Munich Re America Corp.,1133.84
General Re Group,443.7
SCOR U.S. Group/SCOR re,391.22
Everest Reins. Co.,387.63
Sirius America Insurance Co.,271.7
Endurance Reins. Corp. of America,250.84
National Indemnity Co.,245.68
Transatlantic Reinsurance,91.21
Axis Reins. Co.,83.61
American Agricultural Ins. Co.,45.16
XL Reins. America,20.43
Renaissance Reinsurance. U.S. Inc.,0.0
EMC Reins Co.,0.0
Swiss Reins America Corp.,0.0
The Toa Reins. Co. of America,0.0
Partner Reins. Co.,0.0
