Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",212.12
Professional and business services,132.06
Government and government enterprises,100.42
"Educational services, health care, and social assistance",93.98
Retail trade,75.05
Wholesale trade,66.96
"Arts, entertainment, recreation, accommodation, and food services",54.16
Manufacturing,53.98
Information,48.9
Construction,45.07
Transportation and warehousing,32.12
Utilities,15.81
"Agriculture, forestry, fishing, and hunting",8.32
"Mining, quarrying, and oil and gas extraction",1.61
