Response,Share of respondents
Sanitizing carts/baskets before use,20%
Staying at a distance from other shoppers in stores,15%
Making fewer store trips in general,14%
Purchasing more non-perishable groceries,13%
Stocking-up on groceries/household consumables,12%
Buying one or two extra units of specific products,11%
Buying more/stocking up on specific products like toilet paper,11%
Using store pickup (or more often) for grocery shopping,7%
Spending more money on groceries,6%
Shopping with different stores than before outbreak,4%
