Year,GDP in million GBP
2019,2168798
2018,2141792
2017,2115296
2016,2079113
2015,2043909
2014,1996725
2013,1941155
2012,1899626
2011,1872838
2010,1849247
2009,1811672
2008,1889401
2007,1894682
2006,1850989
2005,1802435
2004,1750690
2003,1711559
2002,1656531
2001,1621208
2000,1578121
1999,1524662
1998,1476025
1997,1423254
1996,1355798
1995,1322839
1994,1290179
1993,1242396
1992,1212206
1991,1207364
1990,1220831
1989,1211937
1988,1181481
1987,1117428
1986,1060255
1985,1027873
1984,987166
1983,965509
1982,926621
1981,908707
1980,915042
1979,934253
1978,900728
1977,864606
1976,844053
1975,819361
1974,831823
1973,853211
1972,801160
1971,768159
1970,741420
1969,721970
1968,708384
1967,671765
1966,653694
1965,643723
1964,630411
1963,596399
1962,568897
1961,562843
1960,548182
1959,515587
1958,494469
1957,487920
1956,478458
1955,470517
1954,452371
1953,433512
1952,410688
1951,404591
1950,390150
1949,377558
1948,365418
