Month,Units sold
Dec '19,400
Nov '19,439
Oct '19,497
Sep '19,627
Aug '19,405
Jul '19,493
Jun '19,572
May '19,525
Apr '19,464
Mar '19,814
Feb '19,435
Jan '19,820
Dec '18,449
Nov '18,425
Oct '18,488
Sep '18,512
Aug '18,333
Jul '18,409
Jun '18,494
May '18,548
Apr '18,637
Mar '18,777
Feb '18,373
Jan '18,683
Dec '17,451
Nov '17,524
Oct '17,616
Sep '17,482
Aug '17,374
Jul '17,387
Jun '17,428
May '17,420
Apr '17,502
Mar '17,860
Feb '17,382
Jan '17,514
Dec '16,588
Nov '16,630
Oct '16,519
Sep '16,671
Aug '16,511
Jul '16,546
Jun ´16,569
May '16,518
Apr '16,566
Mar '16,732
Feb '16,369
Jan '16,499
