Tennis player,World Ranking Points
Ashleigh Barty,8717
Simona Halep,6356
Karolína Plíšková,5205
Sofia Kenin,4590
Elina Svitolina,4580
Bianca Andreescu,4555
Kiki Bertens,4335
Serena Williams,4080
Naomi Osaka,4020
Belinda Bencic,4010
Aryna Sabalenka,3615
Petra Kvitova,3566
Johanna Konta,3152
Madison Keys,2962
Petra Martic,2850
Garbine Muguruza,2711
Elena Rybakina,2471
Elise Mertens,2360
Marketa Vondrousova,2308
Alison Riske,2256
Anett Kontaveit,2220
Maria Sakkari,2130
Angelique Kerber,2040
Donna Vekić,1880
Dayana Yastremska,1880
Karolina Muchova,1872
Victoria Azarenka,1832
Amanda Anisimova,1775
Ekatrina Alexandrova,1775
Qiang Wang,1706
Ons Jabeur,1573
Anastasia Pavlyuchenkova,1540
Barbora Strykova,1530
Svetlana Kuznetsova,1527
Yulia Putintseva,1525
Saisai Zheng,1510
Magda Linette,1482
Shuai Zhang,1475
Sloane Stephens,1453
Julia Georges,1423
Jennifer Brady,1395
Veronika Kudermetova,1388
Jelana Ostapenko,1360
Krisitna Mladenovic,1335
Anastasija Sevatsova,1288
Marie Bouzkova,1274
Fiona Ferro,1267
Rebecca Peterson,1225
Polona Hercog,1205
Caroline Garcia,1205
Cori Gauff,1174
