Year,GDP per capita in U.S. dollars
2025*,6043.32
2024*,5916.57
2023*,5806.7
2022*,5709.29
2021*,5589.24
2020*,5315.52
2019*,6221.67
2018,6318.48
2017,3216.61
2016,6046.3
2015,6099.35
2014,6347.0
2013,6030.5
2012,5664.89
2011,5192.88
2010,4633.25
2009,4241.94
2008,4267.47
2007,3588.31
2006,3351.48
2005,3025.01
2004,2700.12
2003,2434.98
2002,2180.39
2001,1909.42
2000,1461.84
1999,1598.77
1998,2257.86
1997,2253.23
1996,2037.13
1995,1980.37
1994,1858.32
1993,1572.84
1992,1375.71
1991,1286.62
1990,1173.13
1989,1182.53
1988,1234.67
1987,1332.15
1986,1461.92
1985,2044.31
