association football venue,Revenue in million euros
FC Schalke 04 (Veltins Arena),6.0
FC Bayern Munich (Allianz-Arena),6.0
Borussia Dortmund (Signal Iduna Park),5.8
Eintracht Frankfurt (Commerzbank-Arena),5.5
TSG 1899 Hoffenheim (Wirsol Rhein-Neckar-Arena),3.75
Fortuna Dusseldorf (Nerkur Spielarena),3.75
RB Leipzig (Red Bull Arena),3.0
1. FC Köln (RheinEnergie Stadion),3.0
SV Werder Bremen (Weserstadion),3.0
Bayer 04 Leverkusen (BayArena),2.5
1. FSV Mainz 05 (Opel Arena),1.9
FC Augsburg (WWK Arena),1.5
SC Paderborn 07 (Benteler-Arena),0.5
