State,Number of stores
Texas,603
Florida,386
California,320
North Carolina,218
Georgia,216
Illinois,191
Ohio,176
Pennsylvania,164
Missouri,158
Tennessee,152
Virginia,151
Alabama,144
Louisiana,138
Oklahoma,137
Michigan,128
Indiana,127
Arkansas,127
Arizona,125
South Carolina,123
New York,119
Colorado,109
Kentucky,103
Wisconsin,99
Mississippi,86
Kansas,84
Minnesota,81
New Jersey,71
Iowa,69
Washington,67
Utah,62
Maryland,62
New Mexico,53
Massachusetts,52
Nevada,50
Nebraska,47
Oregon,46
West Virginia,44
Puerto Rico,37
Connecticut,35
New Hampshire,28
Idaho,27
Maine,25
North Dakota,17
South Dakota,17
Montana,16
Wyoming,14
Hawaii,12
Delaware,10
Rhode Island,9
Alaska,9
Vermont,6
Washington D.C.,5
U.S. total,5355
