academic major,Median income in U.S. Dollars
Architecture and engineering,"83,000$"
"Computers, statistics, and mathematics","76,000$"
Business,"65,000$"
Health,"65,000$"
Physical Science,"65,000$"
All Majors,"61,000$"
Social Science,"60,000$"
Agriculture and natural resources,"56,000$"
Biology and life sciences,"56,000$"
Communications and journalism,"54,000$"
Law and public policy,"54,000$"
Humanities and liberal arts,"52,000$"
"Industrial arts, consumer services, and recreation","52,000$"
Arts,"49,000$"
Psychology and social work,"47,000$"
Education,"45,000$"
