Response,Share of respondents
Too busy with family responsibilities,19%
Outdoor recreation equipment is too expensive,18%
I do not have anyone to participate with,16%
Places for outdoor recreation are too far away,13%
Places for outdoor recreation are too expensive,13%
I do not have the skills or abilities,12%
Too busy with other recreation activities,12%
I have a physical disability,9%
I do not have enough information,9%
My health is poor,8%
I have no way to get to venues for outdoor recreation,6%
Places for outdoor recreation are too crowded,5%
Places for outdoor recreation are poorly maintained,4%
I have household members with a physical disability,4%
I am afraid of getting hurt by animals,3%
Venues for outdoor recreation are polluted,3%
I am afraid of getting hurt by other people,3%
Other reason(s),12%
