Response,Share of respondents
"Clothes (including sports clothing), shoes and accessories",55%
"Deliveries from restaurants, fast-food chains or catering services",32%
"Printed books, magazines or newspapers",29%
"Furniture, home accessories or gardening products",28%
"Computers, tablets, mobile phones or accessories",24%
Children's toys or childcare items,22%
"Cosmetics, beauty or wellness products",22%
Cleaning products or personal hygiene products,18%
"Consumer electronics, for example TVs, stereos, cameras or household appliances",18%
Sports goods (excluding sports clothing),17%
"Food or beverages from stores, or from meal-kit providers",13%
Medicine or dietary supplements such as vitamins,13%
Physical copies of films or series,13%
Physical copies of music,12%
"Bicycles, mopeds, cars, or other vehicles or their spare parts",8%
