Year,GDP per capita in U.S. dollars
2025*,67498.93
2024*,64420.24
2023*,61365.15
2022*,58955.88
2021*,55417.22
2020*,52751.11
2019*,62918.85
2018,66421.62
2017,59127.49
2016,57965.39
2015,66346.96
2014,93054.14
2013,99180.39
2012,101933.12
2011,96827.86
2010,72953.44
2009,59683.14
2008,74189.29
2007,69166.96
2006,62920.65
2005,54228.83
2004,44051.66
2003,35644.41
2002,30748.54
2001,28666.61
2000,29914.27
1999,21660.45
1998,18633.92
1997,21337.1
1996,17677.59
1995,16238.35
1994,14894.69
1993,14546.04
1992,15616.95
1991,14189.04
1990,15446.33
1989,12967.63
1988,12749.1
1987,13828.96
1986,13677.7
1985,18201.42
