insurance companies,Net premiums in billion U.S. dollars
UnitedHealth Group*(United States),178.09
Axa (France),103.03
Ping An Insurance (Group) Co of China,101.82
China Life Insurance (Group),92.36
Kaiser FoundationGroup of Health Plans** (United States),92.05
"Anthem, Inc. (United States)",85.05
Allianz (Germany),83.2
Generali (Italy),72.62
State Farm Group**(United States),70.83
People's Insurance Co (Group) of China,68.2
Berkshire Hathaway Inc(United States),59.22
Centene Corporation*(United States),57.31
Humana Inc,54.94
Nippon Life Insurance Company(Japan),54.36
Munich Re (Germany),53.47
