 Most shared Olympic Games ads,Shares in thousands
P&G – Thank You Mama – Best Job (London 2012),2450.71
Channel 4: We're The Superhumans (Rio Paralympics 2016),1465.78
P&G – Pick Them Back Up (Sochi 2014),699.56
Under Armour: Rule Yourself/Michael Phelps (Rio 2016),473.64
Canadian Institute For Diversity And Inclusion – Luge (Sochi 2014),324.16
"P&G: Thank You, Mom - Strong (Rio 2016)",200.91
Nike – Find Your Greatness Commercial: The Jogger (London 2012),199.73
adidas – Team GB Don’t Stop Me Now (London 2012),198.99
Under Armour: Rule Yourself/USA Womens Gymnastics (Rio 2016),193.24
Nike: Unlimited Youth (Rio 2016),187.38
