Year,Number of tests in thousands
1/7/2021,4934.12
1/5/2021,4868.38
1/3/2021,4827.67
12/31/2020,4797.45
12/28/2020,4726.47
12/25/2020,4706.49
12/22/2020,4630.87
12/19/2020,4587.55
12/16/2020,4505.92
12/13/2020,4428.07
12/10/2020,4356.57
12/7/2020,4264.27
12/4/2020,4205.48
12/1/2020,4122.19
11/28/2020,4081.56
11/25/2020,3975.0
11/22/2020,3898.74
11/19/2020,3808.28
11/16/2020,3702.33
11/13/2020,3630.86
11/10/2020,3519.1
11/7/2020,3455.09
11/4/2020,3341.87
11/1/2020,3264.3
10/29/2020,3169.98
10/26/2020,3064.7
10/23/2020,3002.8
10/20/2020,2890.07
10/17/2020,2832.68
10/13/2020,2709.31
10/9/2020,2627.54
10/6/2020,2540.22
10/2/2020,2471.5
9/28/2020,2372.34
9/24/2020,2302.83
9/20/2020,2223.46
9/16/2020,2136.54
9/12/2020,2066.86
9/8/2020,1966.29
9/4/2020,1901.24
8/31/2020,1802.95
8/27/2020,1730.42
8/23/2020,1652.64
8/20/2020,1591.02
8/16/2020,1513.89
8/13/2020,1450.27
8/9/2020,1378.73
8/5/2020,1295.22
8/1/2020,1226.06
7/28/2020,1131.7
7/24/2020,1053.66
7/20/2020,967.19
7/16/2020,906.02
7/12/2020,847.59
7/8/2020,796.48
7/4/2020,759.04
