Month,Index number of sales per week
Jun 20,97.9
May 20,62.6
Apr 20,50.5
Mar 20,83.9
Feb 20,118.9
Jan 20,119.5
Dec 19,118.3
Nov 19,119.0
Oct 19,117.0
Sep 19,119.1
Aug 19,124.5
Jul 19,120.6
Jun 19,117.5
May 19,114.5
Apr 19,100.6
Mar 19,111.7
Feb 19,109.2
Jan 19,111.9
Dec 18,98.1
Nov 18,122.8
Oct 18,103.9
Sep 18,106.1
Aug 18,98.7
Jul 18,91.5
Jun 18,102.2
May 18,101.8
Apr 18,99.3
Mar 18,95.5
Feb 18,106.1
Jan 18,100.0
Dec 17,102.6
Nov 17,101.6
Oct 17,102.2
Sep 17,96.1
Aug 17,100.1
Jul 17,96.3
Jun 17,95.5
May 17,101.2
Apr 17,102.8
Mar 17,82.3
Feb 17,96.6
Jan 17,96.2
Dec 16,99.6
Nov 16,99.4
Oct 16,100.5
Sep 16,102.5
Aug 16,97.2
July 16,103.5
June 16,103.9
May 16,99.3
April 16,102.2
Mar 16,96.5
Feb 16,96.1
Jan 16,98.7
