Response,Share of respondents
"Swimming, diving or lifesaving",49.5%
Football (include five-a-side),31.4%
Cycling or riding a bike,26.5%
Walking or hiking,22.4%
"Gym, gymnastics, trampolining or climbing frame",19.8%
"Martial arts - Judo, Karate, Taekwando and other Martial Arts",9.7%
Tenpin bowling,8.1%
Tennis,7.8%
Rugby,5.5%
Roller skating/blading or skate boarding,5.4%
Cricket,5.3%
"Cross country, jogging or road running",4.5%
"Golf, putting, pitch and putt",4.2%
Dodgeball,3.8%
Rounders,3.7%
"Aerobics, keep fit",3.5%
"Athletics, track and field events, running races or jumping",3.4%
Ice skating,3.2%
Netball,3%
Table tennis,3%
Horse riding or pony trekking,2.9%
Badminton,2.3%
Basketball,2.2%
Angling or fishing,1.9%
Hockey,1.7%
