Year,Inflation rate compared to previous year
2025*,1.5%
2024*,1.5%
2023*,1.5%
2022*,1.92%
2021*,2%
2020*,1.99%
2019,1.02%
2018,0.46%
2017,1.14%
2016,1.19%
2015,0.86%
2014,-1.09%
2013,0.71%
2012,1.42%
2011,3.4%
2010,1.23%
2009,-2.25%
2008,6.34%
2007,5.86%
2006,2.11%
2005,1.71%
2004,0.52%
2003,-0.05%
2002,2.4%
2001,3.05%
2000,0.75%
1999,0.82%
1998,0.99%
1997,1.78%
1996,2.84%
1995,8.08%
1994,32.1%
1993,-0.74%
1992,-0.01%
1991,-1.75%
1990,0.33%
1989,0.45%
1988,-1.82%
1987,-4.13%
1986,6.12%
1985,13.04%
