Month,Numbers of companies
Nov '20,1984
Oct '20,1992
Sep '20,1988
Aug '20,1992
Jul '20,1991
Jun '20,2004
May '20,2005
Apr '20,2020
Mar '20,2025
Feb '20,2036
Jan '20,2024
Dec '19,2055
Nov '19,2068
Oct '19,2075
Sep '19,2085
Aug '19,2090
Jul '19,2106
Jun '19,2109
May '19,2110
Apr '19,2112
Mar '19,2111
Feb '19,2124
Jan '19,2133
Dec '18,2099
Nov '18,2151
Oct '18,2152
Sep '18,2158
Aug '18,2168
Jul '18,2170
Jun '18,2167
May '18,2163
Apr '18,2022
Mar '18,2027
Feb '18,2029
Jan '18,2034
Dec '17,2038
Nov '17,2031
Oct '17,2032
Sep '17,2032
Aug '17,2035
Jul '17,2035
Jun '17,2033
May '17,2037
Apr '17,2036
Mar '17,2033
Feb '17,2037
Jan '17,2261
Dec '16,2267
Nov '16,2282
Oct '16,2286
Sep '16,2292
Aug '16,2299
Jul '16,2304
Jun '16,2314
May '16,2314
Apr '16,2314
Mar '16,2324
Feb '16,2339
Jan '16,2348
Dec '15,2365
Nov '15,2380
Oct '15,2382
Sep '15,2400
Aug '15,2396
Jul '15,2409
Jun '15,2406
May '15,2417
Apr '15,2417
Mar '15,2426
Feb '15,2424
Jan '15,2429
