Month,Index number of sales per week
Jul 20,95.0
Jun 20,84.0
May 20,33.3
Apr 20,52.9
Mar 20,57.1
Feb 20,84.7
Jan 20,78.1
Dec 19,106.0
Nov 19,90.6
Oct 19,92.9
Sep 19,95.3
Aug 19,94.3
Jul 19,99.9
Jun 19,94.8
May 19,99.0
Apr 19,92.2
Mar 19,89.9
Feb 19,97.5
Jan 19,99.8
Dec 18,93.3
Nov 18,115.1
Oct 18,99.8
Sep 18,100.1
Aug 18,99.4
Jul 18,97.4
Jun 18,94.2
May 18,97.7
Apr 18,98.0
Mar 18,95.5
Feb 18,93.5
Jan 18,97.4
Dec 17,102.9
Nov 17,99.0
Oct 17,100.1
Sep 17,98.9
Aug 17,83.2
Jul 17,93.0
Jun 17,88.6
May 17,102.3
Apr 17,108.0
Mar 17,107.9
Feb 17,103.0
Jan 17,101.4
Dec 16,101.1
Nov 16,114.8
Oct 16,103.3
Sep 16,99.5
Aug 16,104.3
July 16,101.4
June 16,103.9
May 16,92.6
Apr 16,91.2
Mar 16,97.3
Feb 16,92.7
Jan 16,97.5
