Response,Percentage of college graduates
Jan '16,13.7%
Feb '16,13.8%
Mar '16,13.9%
Apr '16,13.7%
May '16,13.6%
Jun '16,13.3%
Jul '16,13.1%
Aug '16,13.2%
Sep '16,13.2%
Oct '16,13.4%
Nov '16,13.4%
Dec '16,13.2%
Jan '17,13.1%
Feb '17,13.1%
Mar '17,13.1%
Apr '17,13.1%
May '17,12.9%
Jun '17,12.9%
Jul '17,12.8%
Aug '17,12.8%
Sep '17,12.6%
Oct '17,12.6%
Nov '17,12.7%
Dec '17,12.9%
Jan '18,13%
Feb '18,13.1%
Mar '18,13.3%
Apr '18,13.5%
May '18,13.8%
Jun '18,13.8%
Jul '18,13.7%
Aug '18,13.5%
Sep '18,13.2%
Oct '18,13%
Nov '18,12.7%
Dec '18,12.7%
Jan '19,12.6%
Feb '19,12.4%
Mar '19,12.2%
Apr '19,11.9%
May '19,11.6%
Jun '19,11.5%
Jul '19,11.6%
Aug '19,11.6%
Sep '19,11.8%
Oct '19,12.3%
Nov '19,12.6%
Dec '19,12.8%
Jan '20,12.9%
Feb '20,12.9%
Mar '20,12.8%
Apr '20,12.7%
May '20,12.6%
Jun '20,12.3%
Jul '20,12.2%
Aug '20,12.1%
Sep '20,11.9%
