Month,Month-on-month CPI change
Jul 20*,1.1%
Jun 20,0.3%
May 20,-0.1%
Apr 20,0.5%
Mar 20,0.2%
Feb 20,0.6%
Jan 20,-0.8%
Dec 19,0.1%
Nov 19,-0.4%
Oct 19,0.4%
Sep 19,-0.6%
Aug 19,0.4%
Jul 19,1%
Jun 19,-0.1%
May 19,-0.1%
Apr 19,0.7%
Mar 19,0.4%
Feb 19,0.9%
Jan 19,0.1%
Dec 18,-0.1%
Nov 18,-0.2%
Oct 18,0.4%
Sep 18,-0.4%
Aug 18,0.1%
Jul 18,1.1%
Jun 18,-0.3%
May 18,0.3%
Apr 18,0.6%
Mar 18,0.2%
Feb 18,0.5%
Jan 18,-0.1%
Dec 17,0%
Nov 17,-0.2%
Oct 17,0.1%
Sep 17,-0.2%
Aug 17,0.2%
Jul 17,0.7%
Jun 17,-0.3%
May 17,-0.3%
Apr 17,0.5%
Mar 17,0.3%
Feb 17,0.7%
Jan 17,-0.4%
Dec 16,0.2%
Nov 16,-0.3%
Oct 16,0.3%
Sep 16,-0.3%
Aug 16,0.1%
Jul 16,0.5%
Jun 16,-0.3%
May 16,0.2%
Apr 16,0.1%
Mar 16,1%
Feb 16,0.6%
Jan 16,-1%
Dec 15,-0.1%
Nov 15,-0.6%
Oct 15,-0.1%
Sep 15,-0.2%
Aug 15,-0.3%
Jul 15,0.8%
Jun 15,-0.4%
May 15,0.2%
Apr 15,0.6%
Mar 15,1.1%
Feb 15,0.6%
Jan 15,-0.9%
Dec 14,-0.2%
Nov 14,-0.6%
Oct 14,-0.1%
Sep 14,0%
Aug 14,-0.1%
Jul 14,0.8%
Jun 14,-0.3%
May 14,-0.3%
Apr 14,0.5%
Mar 14,0.8%
Feb 14,0.4%
Jan 14,-0.2%
Dec 13,0.1%
Nov 13,-0.5%
Oct 13,-0.3%
Sep 13,0.1%
Aug 13,-0.1%
Jul 13,0.8%
Jun 13,-0.4%
May 13,0%
Apr 13,0.1%
Mar 13,1.1%
Feb 13,0.8%
Jan 13,0%
Dec 12,-0.1%
Nov 12,-0.4%
Oct 12,0.6%
Sep 12,0.4%
Aug 12,0.1%
Jul 12,0.7%
Jun 12,-0.5%
May 12,-0.1%
Apr 12,0.4%
Mar 12,1.1%
Feb 12,0.8%
Jan 12,-0.1%
Dec 11,-0.3%
Nov 11,-0.3%
Oct 11,0%
Sep 11,0.4%
Aug 11,0.2%
Jul 11,0.5%
Jun 11,-0.5%
May 11,0.1%
Apr 11,0.5%
Mar 11,1.1%
Feb 11,0.8%
Jan 11,-0.1%
Dec 10,-0.2%
Nov 10,-0.1%
Oct 10,0.1%
Sep 10,0.6%
Aug 10,0.2%
Jul 10,-0.3%
Jun 10,-0.5%
May 10,0%
Apr 10,0.3%
Mar 10,1.2%
