Month,Number of hours
Dec 2020,37.8
Nov 2020,53.1
Oct 2020,66.0
Sep 2020,145.3
Aug 2020,142.6
Jul 2020,142.4
Jun 2020,164.2
May 2020,265.5
Apr 2020,224.5
Mar 2020,136.3
Feb 2020,72.9
Jan 2020,44.5
Dec 2019,45.9
Nov 2019,48.1
Oct 2019,88.5
Sep 2019,142.7
Aug 2019,174.9
Jul 2019,166.3
Jun 2019,159.9
May 2019,186.9
Apr 2019,168.7
Mar 2019,115.2
Feb 2019,98.9
Jan 2019,50.8
Dec 2018,36.2
Nov 2018,61.8
Oct 2018,111.4
Sep 2018,132.4
Aug 2018,147.0
Jul 2018,233.8
Jun 2018,234.4
May 2018,240.5
Apr 2018,131.6
Mar 2018,83.7
Feb 2018,98.1
Jan 2018,49.1
Dec 2017,44.5
Nov 2017,70.7
Oct 2017,72.3
Sep 2017,108.5
Aug 2017,155.1
Jul 2017,168.3
Jun 2017,155.3
May 2017,207.8
Apr 2017,158.1
Mar 2017,119.1
Feb 2017,54.8
Jan 2017,54.7
Dec 2016,40.3
Nov 2016,74.2
Oct 2016,104.6
Sep 2016,119.3
Aug 2016,180.6
Jul 2016,156.4
Jun 2016,134.9
May 2016,208.3
Apr 2016,160.5
Mar 2016,116.6
Feb 2016,84.4
Jan 2016,37.3
Dec 2015,29.1
Nov 2015,35.5
Oct 2015,90.4
Sep 2015,151.8
Aug 2015,148.2
Jul 2015,160.7
Jun 2015,188.5
May 2015,173.8
Apr 2015,211.8
Mar 2015,121.0
Feb 2015,75.5
Jan 2015,58.3
