Response,Percentage of respondents
I am less likely to give personal info on websites,44%
I decided to only visit websites I know and trust,42%
I only use my own computer,42%
I started opening only emails from people I know,41%
I started using different passwords,37%
I have installed antivirus software,36%
I have changed the security settings,32%
I started changing my passwords regularly,24%
I am less likely to bank online,20%
I am less likely to buy goods or services online,19%
None,9%
I cancelled an online purchase,6%
Don't know,4%
Other,1%
