Month,Exchange rate
Nov '20,26.19
Oct' 20,27.25
Sep '20,27.23
Aug '20,26.21
Jul '20,26.18
Jun '20,26.74
May '20,26.92
Apr '20,27.1
Mar '20,27.31
Feb '20,25.39
Jan '20,25.21
Dec '19,25.41
Nov '19,25.52
Oct '19,25.51
Sep '19,25.82
Aug '19,25.91
Jul '19,25.66
Jun '19,25.45
May '19,25.82
Apr '19,25.66
Mar '19,25.8
Feb '19,25.6
Jan '19,25.76
Dec '18,25.72
Nov '18,25.96
Oct '18,25.92
Sep '18,25.73
Aug '18,25.74
Jul '18,25.6
Jun '18,26.02
May '18,25.8
Apr '18,25.54
Mar '18,25.43
Feb '18,25.42
Jan '18,25.27
Dec '17,25.54
Nov '17,25.49
Oct '17,25.67
Sep '17,25.98
Aug '17,26.1
Jul '17,26.08
Jun '17,26.2
May '17,26.42
Apr '17,26.92
Mar '17,27.03
Feb '17,27.02
Jan '17,27.02
Dec '16,27.03
Nov '16,27.03
Oct '16,27.02
Sep '16,27.02
Aug '16,27.03
Jul '16,27.03
Jun '16,27.13
May '16,27.02
Apr '16,27.04
Mar '16,27.05
Feb '16,27.06
Jan '16,27.03
Dec '15,27.02
Nov '15,27.03
Oct '15,27.09
Sep '15,27.19
Aug '15,27.02
Jul '15,27.03
Jun '15,27.25
May '15,27.4
Apr '15,27.43
Mar '15,27.53
Feb '15,27.44
Jan '15,27.8
Dec '14,27.74
Nov '14,27.65
Oct '14,27.77
Sep '14,27.5
Aug '14,27.73
Jul '14,27.57
Jun '14,27.45
May '14,27.47
Apr '14,27.45
Mar '14,27.44
Feb '14,27.34
Jan '14,27.5
