Field of study,Average tuition fee in Canadian dollars
Veterinary medicine,65576
Dentistry,57020
Pharmacy,40736
Medicine,38075
Engineering,36072
Law,36001
"Mathematics, computer and information sciences",35628
Physical and life sciences and technologies,34763
Total (all fields),32041
"Business, management and public administration",30769
"Social and behavioural sciences, and legal studies",30049
Architecture,29804
Humanities,29742
"Agriculture, natural resources and conservation",28238
"Visual and performing arts, and communications technologies",27537
"Other health, parks, recreation and fitness",26696
"Personal, protective and transportation services",25424
Nursing,22946
Education,22104
