Response,Share of respondents
Is the person in charge of buying food for the household,65.3%
Currently lives with their family,60.9%
Prefer to do the groceries because they choose products they like,25.6%
Spends at least 500 MEX when buying food,20.2%
Writes a shopping list on a piece of paper,20.1%
Is the one deciding what to buy in the household,19.3%
Does grocery shopping alone,18.6%
Buys groceries on Wednesday,10.5%
The main reason to do the shopping is because they are the ones paying for it in the household,6.9%
Does not like to carry the shopping bags,5.5%
