Year,GDP per capita in U.S. dollars
2025*,1047.52
2024*,997.37
2023*,949.12
2022*,900.04
2021*,850.79
2020*,768.83
2019*,774.7
2018,820.53
2017,738.01
2016,687.48
2015,653.39
2014,704.98
2013,700.25
2012,674.2
2011,667.45
2010,574.33
2009,554.18
2008,572.44
2007,475.79
2006,419.81
2005,407.82
2004,371.69
2003,332.88
2002,261.76
2001,237.45
2000,226.84
1999,267.02
1998,255.72
1997,229.49
1996,249.36
1995,235.83
1994,196.03
1993,334.95
1992,361.05
1991,346.41
1990,351.99
1989,304.85
1988,313.06
1987,291.13
1986,256.77
1985,200.9
