Country,Index points
Iceland,95
Estonia,94
Canada,87
Germany,80
United Kingdom,78
France,77
Australia,76
Georgia,76
Italy,76
United States,76
Armenia,75
Japan,75
Argentina,71
Hungary,71
South Africa,70
Kenya,76
Colombia,66
South Korea,66
Philippines,64
Tunisia,64
Brazil,63
Angola,62
Mexico,61
Ukraine,61
Malawi,60
Nigeria,60
Zambia,59
Malaysia,58
Ecuador,57
Kyrgyzstan,56
Uganda,56
Singapore,54
Lebanon,52
Morocco,52
Sri Lanka,52
India,51
Libya,50
Indonesia,49
Jordan,49
The Gambia,49
Zimbabwe,46
Cambodia,43
Bangladesh,42
Rwanda,39
Azerbaijan,38
Belarus,38
Thailand,35
Turkey,35
Kazakhstan,32
Myanmar,31
Russia,30
Sudan,30
Bahrain,29
Ethiopia,29
United Arab Emirates,29
Venezuela,28
Uzbekistan,27
Egypt,26
Pakistan,26
Saudi Arabia,26
Cuba,22
Vietnam,22
Syria,17
Iran,15
China,10
