Company,Turnover in million SEK
Meritor HVS AB,4179
ELON Group AB (publ),3710
Kopparbergs Bryggeri AB,3026
Örebro Rådhus AB,2877
Atria Sverige AB,2817
Linde Material Handling AB,1888
Zinkgruvan Mining AB,1859
Dressmann AB,1499
Ahlstrom-Munksjö Aspa Bruk AB,1167
Cambrex Karlskoga AB,1099
LäroMedia Örebro AB,982
Suzuki Garphyttan AB,967
Kommuninvest i Sverige AB,942
Bharat Forge Kilsta AB,845
BAE Systems Bofors AB,843
Moelven Valåsen AB,815
Würth Svenska AB,803
Asplundsgruppen AB,781
Orica Sweden AB,736
Textilia Tvätt & Textilservice AB,637
